"","Time","PDCSAP_FLUX","GT","QFD_Trend","Sigma_Trend","QFD_State","Sigma_State","Flux"
"trend[964]",1326.63645524259,-15.9381220670355,"1",-5.3553572540112,-9.27793844561893,"1","1",0
"trend[965]",1326.63784412682,-10.7712519498455,"1",-5.6577019814387,-9.61376402060699,"1","1",0
"trend[966]",1326.63923301107,-13.7421992154755,"1",-5.94438752193889,-9.63849177448185,"1","1",0
"trend[967]",1326.64062189533,-5.33375194984546,"1",-6.21459095958164,-9.5280143031449,"1","1",0
"trend[968]",1326.64201077959,-6.42567089515546,"1",-6.46747855831634,-9.44846575705475,"1","1",0
"trend[969]",1326.64339966385,-13.1815302701555,"1",-6.70234175702449,-9.50012011872352,"1","1",0
"trend[970]",1326.6447885481,-1.13831737953547,"1",-6.91851281090023,-9.7019415558784,"1","1",0
"trend[971]",1326.64617743236,-16.1826289029755,"1",-7.11536079939325,-10.1257292897047,"1","1",0
"trend[972]",1326.64756631662,-5.30262402015546,"1",-7.29236453637383,-10.6737903117545,"1","1",0
"trend[973]",1326.64895520087,-17.8192255826555,"1",-7.44913242169706,-11.3022494902832,"1","1",0
"trend[974]",1326.65034408513,-7.16358593422547,"1",-7.58511477809741,-11.8880067326855,"1","1",0
"trend[975]",1326.65173296939,-16.3671992154755,"1",-7.70004215394931,-12.3916638473303,"1","1",0
"trend[976]",1326.65312185364,-19.5186884732855,"1",-7.79348110520753,-12.6825916601669,"1","1",0
"trend[977]",1326.6545107379,-2.31727245765546,"1",-7.86511989469828,-12.7192578909652,"1","1",0
"trend[978]",1326.65589962219,-20.9640009732855,"1",-7.91494347188522,-12.4866554713656,"1","1",0
"trend[979]",1326.65728850644,-22.4071162076555,"1",-7.94259038068318,-11.8157490997974,"1","1",0
"trend[980]",1326.6586773907,-3.30311230141547,"1",-7.94803262192191,-10.6528297672078,"1","1",0
"trend[981]",1326.66006627496,-7.04529980141547,"1",-7.93115959618678,-9.16447552923466,"1","1",0
"trend[982]",1326.66145515924,-11.7834589810955,"1",-7.89218627221504,-7.29284613449166,"1","1",0
"trend[983]",1326.6628440435,-6.48060253578547,"1",-7.83113647271963,-4.84728511868994,"1","1",0
"trend[984]",1326.66423292776,-21.5665400357855,"1",-7.74820830386851,-1.70416354814444,"1","1",0
"trend[985]",1326.66562181204,-20.7454920885365,"2",-7.64348426378524,2.18907409975686,"1","1",0.324587986308996
"trend[986]",1326.6670106963,15.2787865878582,"2",-7.51742354530647,6.29328165838145,"2","1",11.4864399048937
"trend[987]",1326.66839958059,54.5185414393692,"2",-7.37030363267557,9.58169827226594,"2","2",56.3956283501547
"trend[988]",1326.66978846484,25.5342584724482,"3",-7.20257033549038,11.2303428385353,"3","1",32.5677174535437
"trend[989]",1326.67117734913,9.40338927197222,"3",-7.01470678134893,11.3878332952429,"3","1",21.0247388780677
"trend[990]",1326.67256623339,4.77221732887344,"3",-6.80724750132835,10.6263024425723,"3","1",14.9797485755989
"trend[991]",1326.67395511767,1.87612049775819,"3",-6.58080945016385,9.39002645130944,"3","1",11.5367767444837
"trend[992]",1326.67534400193,16.4139968524135,"3",-6.33605730265351,7.86429277922994,"3","1",9.36591286475901
"trend[993]",1326.67673288622,11.3810505851445,"3",-6.07360294143294,6.06482757795604,"3","1",7.85103300374
"trend[994]",1326.6781217705,-1.50280234711414,"3",-5.79419507488526,4.11470264475311,"1","1",6.70204335273132
"trend[995]",1326.67951065476,-3.80012931391495,"3",-5.49876654790818,2.27751837566251,"1","1",5.77837361250052
"trend[996]",1326.68089953905,4.62011416318316,"3",-5.18805463268265,0.703832043032323,"1","1",5.00855361302863
"trend[997]",1326.68228842333,-5.10464016620041,"3",-4.86300998309094,-0.583867512731603,"1","1",4.35350143208505
"trend[998]",1326.68367730759,4.69081720479716,"3",-4.52440317245319,-1.60611930628857,"1","1",3.78970587339263
"trend[999]",1326.68506619188,-14.4016654419514,"3",-4.1730863146168,-2.29247349800907,"1","1",3.30147127352405
"trend[1000]",1326.68645507616,-2.02603507393518,"3",-3.81010504147886,-2.47443568336934,"1","1",2.87729695404029
"trend[1001]",1326.68923284473,-10.6910960640292,"3",-3.05349166595017,-1.64276229881972,"1","1",2.18660119831624
"trend[1002]",1326.69062172899,7.7043476178678,"3",-2.66183908986339,-0.740246884399169,"1","1",1.90638570052326
"trend[1003]",1326.69201061328,-12.8747471284971,"3",-2.26276751921943,0.249952612711753,"1","1",1.66212982134837
"trend[1004]",1326.69339949756,16.1447367721705,"3",-1.85734346399203,1.17316925325424,"1","1",1.44919184701598
"trend[1005]",1326.69478838185,9.6689277441012,"3",-1.44689607993567,1.7200230595663,"1","1",1.26354395175666
"trend[1006]",1326.69617726613,-1.87501323894902,"3",-1.0325400873374,1.87314431047845,"1","1",1.10168304683644
"trend[1007]",1326.69756615042,3.08531543296453,"1",-0.615410574411261,1.77918556656093,"1","1",0
"trend[1008]",1326.69895503471,2.89757129234454,"1",-0.196642794962623,1.56955059554417,"1","1",0
"trend[1009]",1326.70034391899,-4.02027538734546,"1",0.222542243867257,1.30651667339314,"1","1",0
"trend[1010]",1326.70173280331,1.98802539390454,"1",0.640969298052089,1.07049775254216,"1","1",0
"trend[1011]",1326.70312168759,7.03111621421453,"1",1.05747893588664,0.842981362707241,"1","1",0
"trend[1012]",1326.70451057188,-7.08253124672547,"1",1.47082480615219,0.617105085250122,"1","1",0
"trend[1013]",1326.70589945617,-0.721325192035465,"1",1.88003862491256,0.519649461723713,"1","1",0
"trend[1014]",1326.70728834045,-0.349132809225466,"1",2.28397574205771,0.534860957575218,"1","1",0
"trend[1015]",1326.70867722474,5.86900683921453,"1",2.68153113745454,0.601058441837312,"1","1",0
"trend[1016]",1326.71006610905,-0.996837887345464,"1",3.07156578630291,0.637191661371331,"1","1",0
"trend[1017]",1326.71145499334,2.91905566734454,"1",3.45292160952048,0.686960277653472,"1","1",0
"trend[1018]",1326.71423276194,-4.29334667641547,"1",4.18578116108897,1.1024098275053,"1","1",0
"trend[1019]",1326.71562164623,-0.298717770155463,"1",4.53518198133223,1.63186240861346,"1","1",0
"trend[1020]",1326.71701053051,0.910022464214535,"1",4.87187234021816,2.38953360574477,"1","1",0
"trend[1021]",1326.71839941483,-3.07447460609546,"1",5.19486423973152,3.2598187629222,"1","1",0
"trend[1022]",1326.71978829912,20.0512578157745,"1",5.50321663549806,4.05029682506213,"1","1",0
"trend[1023]",1326.72117718343,7.69469043296453,"1",5.79614984590322,4.48554047598286,"1","1",0
"trend[1024]",1326.72256606772,-2.09144237953547,"1",6.072819460055,4.6222982843282,"1","1",0
"trend[1025]",1326.72395495203,13.9166142610845,"1",6.33250684079256,4.64218636027946,"1","1",0
"trend[1026]",1326.72534383632,-2.92835644203547,"1",6.57438049422321,4.56089042976035,"1","1",0
"trend[1027]",1326.72673272063,8.43907519858453,"1",6.79771852802163,4.5749730991114,"1","1",0
"trend[1028]",1326.72812160492,-2.43116405922547,"1",7.0019583047489,4.74630535989625,"1","1",0
"trend[1029]",1326.72951048923,8.55833789390454,"1",7.18649712805232,5.11806443520661,"1","1",0
"trend[1030]",1326.73089937355,-0.195080074845464,"1",7.35086128067139,5.7289371578275,"1","1",0
"trend[1031]",1326.73228825784,6.62108203452453,"1",7.49462556627705,6.54456330315785,"1","1",0
"trend[1032]",1326.73367714215,8.26842090171453,"1",7.61729998145044,7.42353735849197,"1","1",0
"trend[1033]",1326.73506602647,10.2735478548445,"1",7.71863817631319,8.25145679331794,"1","1",0
"trend[1034]",1326.73645491075,7.23497363608453,"1",7.79816650023428,8.92977995061047,"1","1",0
"trend[1035]",1326.73784379507,21.2206914095245,"1",7.85582035868001,9.30239836987372,"1","1",0
"trend[1036]",1326.73923267938,4.62291308921453,"1",7.89141069985034,9.26859991296924,"1","1",0
"trend[1037]",1326.7406215637,15.5475957064045,"1",7.90486676512088,8.90147269605054,"1","1",0
"trend[1038]",1326.74201044798,14.2404668001545,"1",7.8961095705517,8.24295167703447,"1","1",0
"trend[1039]",1326.7433993323,4.73607226890454,"1",7.8651838376839,7.4901468845134,"1","1",0
"trend[1040]",1326.74478821661,-8.07911327797547,"1",7.8120109926811,6.8574075466121,"1","1",0
"trend[1041]",1326.74617710093,15.4365117220245,"1",7.73690721231478,6.48593646490307,"1","1",0
"trend[1042]",1326.74756598524,0.154773440774534,"1",7.63992244484216,6.26724664542104,"1","1",0
"trend[1043]",1326.74895486956,16.3694951204645,"1",7.52155897238849,6.16111387085484,"1","1",0
"trend[1044]",1326.75034375387,-0.245373043595464,"1",7.38219322182209,6.10173157711551,"1","1",0
"trend[1045]",1326.75173263819,0.176746097024534,"1",7.22211261254436,6.1520043813121,"1","1",0
"trend[1046]",1326.7531215225,17.2245976595245,"1",7.04172046679164,6.30216101509967,"1","1",0
"trend[1047]",1326.75451040682,-4.27576855141547,"1",6.8414625945256,6.39641610626485,"1","1",0
"trend[1048]",1326.75589929114,13.9616582064045,"1",6.62188329557862,6.44224800113705,"1","1",0
"trend[1049]",1326.75728817545,15.0402714876545,"1",6.38365020652534,6.2767759760575,"1","1",0
"trend[1050]",1326.75867705977,-0.678478512345464,"1",6.12735230375016,5.8613305817126,"1","1",0
"trend[1051]",1326.76006594408,2.19237109702453,"1",5.8538306128475,5.35488549742976,"1","1",0
"trend[1052]",1326.76145482843,11.5479619173445,"1",5.56378284118156,4.78652693024676,"1","1",0
"trend[1053]",1326.76284371274,15.3885380892145,"1",5.25804473174588,4.0772670843207,"1","1",0
"trend[1054]",1326.76423259706,-15.5098994107855,"1",4.93738863172705,3.28303474108373,"1","1",0
"trend[1055]",1326.76562148137,6.85277148765454,"1",4.60279121533446,2.70212955671724,"1","1",0
"trend[1056]",1326.76701036572,6.90599414390454,"1",4.25511589678809,2.29153266495084,"1","1",0
"trend[1057]",1326.76839925003,1.22960254234454,"1",3.89538880587247,1.98195056185395,"1","1",0
